Protocol,direction,security_group_name,security_group_rule_name,Source,Destination ,Ports,ICMP_type,Description,
ICMP,Ingress,,,UAT Management Subnet,-,-,,,
TCP,Ingress,,,Wood On-Premise,-,6001-7000,,,
TCP,Ingress,,,UAT Application Subnet,-,6001-7000,,,
TCP,Ingress,,,Wood On-Premise,-,3141,,,
TCP,Ingress,,,UAT Application Subnet,-,3141,,,
TCP,Ingress,,,Wood On-Premise,-,9704-9706,,,
TCP,Ingress,,,Nonprod VCN,-,9704-9706,,,
TCP,Ingress,,,Prod VCN,-,9704-9706,,,
TCP,Ingress,,,Wood On-Premise,-,9704-9706,,,
TCP,Ingress,,,UAT Application Subnet,-,9704-9706,,,
-,Ingress,,,10.41.76.194/32,-,-,,,
-,Ingress,,,172.25.25.124/32,-,-,,,
-,Ingress,,,172.25.25.10/32,-,-,,,
TCP,Ingress,,,172.25.25.0/24,-,1400-1499,,,
TCP,Ingress,,,172.25.28.0/24,-,1400-1499,,,
-,Egress,,,-,0.0.0.0/0,-,,,
,,,,,,,,,
,,,,,,,,,
TCP,Ingress,OCIUATSL04,,VCN,-,22,,SSH,
TCP,Ingress,,,VCN,-,111,,,
UDP,Ingress,,,VCN,-,111,,,
TCP,Ingress,,,VCN,-,2048-2050,,,
UDP,Ingress,,,VCN,-,2048,,,
TCP,Ingress,,,UAT Management Subnet,-,1521-1599,,Database,
TCP,Ingress,,,UAT DMZ Subnet,-,1521-1599,,Database,
TCP,Ingress,,,UAT Application Subnet,-,1521-1599,,Database,
TCP,Ingress,,,Wood On-Premise,-,22,,SSH,
ICMP,Ingress,,,Wood On-Premise,-,-,,,
TCP,Ingress,,,UAT Management Subnet,-,22,,SSH,
TCP,Ingress,,,UAT Application Subnet,-,1521-1524,,,
ICMP,Ingress,,,UAT Application Subnet,-,-,,,
TCP,Ingress,,,UAT Database Subnet,-,22,,SSH,
TCP,Ingress,,,UAT Database Subnet,-,1521-1524,,,
TCP,Ingress,,,Prod Management Subnet,-,443,,,
TCP,Ingress,,,UAT DMZ Subnet,-,1521,,,
ICMP,Ingress,,,Wood External VPN,-,-,,,
TCP,Ingress,,,Wood External VPN,-,443,,,
TCP,Ingress,,,Wood External VPN,-,80,,,
TCP,Ingress,,,Wood External VPN,-,1521-1599,,,
TCP,Ingress,,,Wood External VPN,-,22,,,
TCP,Ingress,,,Wood On-Premise,-,1521-1599,,,
TCP,Ingress,,,Wood On-Premise,-,443-452,,,
TCP,Ingress,,,VCN,-,443-452,,,
ICMP,Ingress,,,UAT Database Subnet,-,-,,,
ICMP,Ingress,,,UAT Management Subnet,-,-,,,
TCP,Ingress,,,172.25.25.0/24,-,1400-1499,,,
TCP,Ingress,,,172.25.28.0/24,-,1400-1499,,,
-,Egress,,,-,0.0.0.0/0,-,,,
,,,,,,,,,
,,,,,,,,,
